minor,average rssi(mW),dBm
time range,11:37:23,11:37:33
row1,7.45E-07,-61.28
row2,7.84E-06,-51.05
row3,1.71E-06,-57.67
row4,1.04E-06,-59.83
time range,11:35:20,11:35:30
row1,3.01E-07,-65.21
row2,7.60E-08,-71.19
row3,2.57E-06,-55.91
row4,6.44E-07,-61.91
