minor,average rssi(mW),dBm
time range,11:10:40,11:11:40
row1,1.335581e-07,-68.74
row2,1.769475e-07,-67.52
row3,4.336969e-07,-63.63
row4,7.234085e-05,-41.41
time range,11:11:40,11:12:40
row1,2.613234e-07,-65.83
row2,2.946096e-07,-65.31
row3,8.741729e-06,-50.58
row4,2.573511e-05,-45.89
time range,11:12:40,11:13:40
row1,8.480986e-07,-60.72
row2,2.903396e-06,-55.37
row3,9.972329e-07,-60.01
row4,5.948578e-06,-52.26
time range,11:13:40,11:14:00
row1,7.027409e-06,-51.53
row2,1.823530e-06,-57.39
row3,5.053553e-07,-62.96
row4,1.629870e-06,-57.88
time range,11:14:00,11:15:00
row1,4.306438e-06,-53.66
row2,1.839209e-06,-57.35
row3,3.464330e-07,-64.60
row4,7.015120e-07,-61.54
time range,11:15:20,11:16:20
row1,4.914428e-07,-63.09
row2,8.422131e-06,-50.75
row3,6.787797e-07,-61.68
row4,1.332206e-05,-48.75
time range,11:16:30,11:17:30
row1,6.123314e-07,-62.13
row2,3.388965e-07,-64.70
row3,3.107106e-05,-45.08
row4,2.154776e-06,-56.67
