minor,average rssi(mW),dBm
row7,2.940092e-07,-65.32
row8,6.034542e-06,-52.19
time range,11:27:28,11:27:38
row1,5.811450e-09,-82.36
row2,1.057850e-08,-79.76
row3,4.928312e-08,-73.07
row4,1.324427e-08,-78.78
row5,7.271326e-07,-61.38
row6,3.260408e-06,-54.87
row7,1.589080e-07,-67.99
row8,1.389313e-06,-58.57
time range,11:27:47,11:27:57
row1,1.995262e-08,-77.00
row2,9.145981e-09,-80.39
row3,8.085746e-08,-70.92
row4,1.315836e-08,-78.81
row5,3.457225e-07,-64.61
row6,3.081093e-06,-55.11
row7,3.332474e-07,-64.77
row8,4.976248e-06,-53.03
time range,11:28:00,11:28:10
row1,1.292447e-08,-78.89
row2,1.970530e-08,-77.05
row3,4.092420e-08,-73.88
row4,1.564901e-08,-78.06
row5,4.375877e-07,-63.59
row6,1.573628e-06,-58.03
row7,2.847421e-07,-65.46
row8,9.809477e-06,-50.08
time range,11:29:00,11:29:10
row1,0,-80
row2,1.738782e-08,-77.60
row3,3.017746e-07,-65.20
row4,1.584076e-08,-78.00
row5,1.317630e-06,-58.80
row6,9.670277e-07,-60.15
row7,2.161532e-06,-56.65
row8,6.650100e-06,-51.77
