minor,average rssi(mW),dBm
row2,8.237099e-07,-60.84
row3,6.392449e-05,-41.94
row4,2.407968e-07,-66.18
row5,4.871209e-06,-53.12
row6,8.354489e-07,-60.78
row7,3.052050e-08,-75.15
row8,3.981072e-08,-74.00
time range,10:55:11,10:55:21
row1,8.953438e-07,-60.48
row2,2.803635e-07,-65.52
row3,3.366606e-05,-44.73
row4,2.525770e-07,-65.98
row5,2.635043e-06,-55.79
row6,2.810275e-07,-65.51
row7,6.177460e-08,-72.09
row8,2.940148e-08,-75.32
time range,10:55:39,10:55:49
row1,6.042092e-06,-52.19
row2,2.279564e-06,-56.42
row3,1.864057e-04,-37.30
row4,4.474170e-07,-63.49
row5,2.025400e-06,-56.93
row6,6.896269e-07,-61.61
row7,6.745037e-08,-71.71
row8,3.784286e-08,-74.22
time range,10:56:10,10:56:20
row1,4.621471e-07,-63.35
row2,3.684504e-07,-64.34
row3,1.767279e-04,-37.53
row4,2.146410e-07,-66.68
row5,4.242967e-07,-63.72
row6,9.863234e-07,-60.06
row7,3.472632e-08,-74.59
row8,3.746512e-08,-74.26
time range,10:56:35,10:56:45
row1,3.675448e-07,-64.35
row2,2.991556e-07,-65.24
row3,1.358339e-04,-38.67
row4,1.429838e-07,-68.45
row5,4.434298e-06,-53.53
row6,7.479918e-07,-61.26
row7,1.459615e-07,-68.36
row8,5.952726e-08,-72.25
time range,10:57:05,10:57:15
row1,5.573874e-07,-62.54
row2,4.349790e-07,-63.62
row3,9.447335e-06,-50.25
row4,3.013040e-07,-65.21
row5,3.571953e-06,-54.47
row6,7.544366e-07,-61.22
row7,2.084245e-08,-76.81
row8,3.375023e-08,-74.72
time range,10:57:26,10:57:36
row1,1.544147e-07,-68.11
row2,2.086404e-07,-66.81
row3,2.735932e-05,-45.63
row4,1.222202e-06,-59.13
row5,6.699314e-06,-51.74
row6,1.724884e-06,-57.63
row7,1.168569e-08,-79.32
row8,7.331674e-08,-71.35
time range,10:57:45,10:57:55
row1,5.722575e-08,-72.42
row2,2.948537e-07,-65.30
row3,3.735433e-05,-44.28
row4,1.768262e-07,-67.52
row5,2.098587e-06,-56.78
row6,6.125519e-07,-62.13
row7,7.005606e-08,-71.55
row8,6.683084e-08,-71.75
time range,10:58:19,10:58:29
row1,8.265125e-08,-70.83
row2,5.207404e-07,-62.83
row3,2.831326e-06,-55.48
row4,1.616291e-07,-67.91
row5,6.048320e-06,-52.18
row6,7.303551e-07,-61.36
row7,1.943066e-08,-77.12
row8,6.013131e-08,-72.21
time range,10:58:33,10:58:43
row1,9.563414e-08,-70.19
row2,4.080532e-07,-63.89
row3,1.445193e-05,-48.40
row4,4.275586e-07,-63.69
row5,2.789586e-06,-55.54
row6,6.273364e-07,-62.02
row7,3.981072e-08,-74.00
row8,5.403023e-08,-72.67
time range,10:58:47,10:58:57
row1,3.322734e-07,-64.79
row2,2.568282e-07,-65.90
row3,1.322182e-05,-48.79
row4,5.403023e-07,-62.67
row5,2.484210e-06,-56.05
row6,6.695378e-07,-61.74
row7,8.404397e-08,-70.75
row8,7.931051e-08,-71.01
time range,10:59:03,10:59:13
row1,2.116742e-07,-66.74
row2,5.718693e-07,-62.43
row3,1.295094e-06,-58.88
row4,7.817061e-07,-61.07
row5,2.181753e-05,-46.61
row6,1.602626e-06,-57.95
row7,3.293203e-08,-74.82
row8,5.949544e-08,-72.26
time range,10:59:16,10:59:26
row1,4.379269e-08,-73.59
row2,3.380057e-07,-64.71
row3,4.936861e-06,-53.07
row4,5.336580e-07,-62.73
row5,7.242912e-06,-51.40
row6,8.699777e-07,-60.60
row7,2.783652e-08,-75.55
row8,1.217611e-07,-69.14
time range,10:59:30,10:59:40
row1,1.285787e-07,-68.91
row2,8.370754e-08,-70.77
row3,3.312291e-06,-54.80
row4,7.059092e-07,-61.51
row5,6.384242e-06,-51.95
row6,1.281365e-06,-58.92
row7,5.153476e-08,-72.88
row8,8.028239e-08,-70.95
time range,11:00:09,11:00:19
row1,4.780795e-07,-63.20
row2,4.778411e-07,-63.21
row3,3.279921e-06,-54.84
row4,1.073979e-06,-59.69
row5,3.190459e-06,-54.96
row6,6.024675e-07,-62.20
row7,2.955144e-08,-75.29
row8,2.816531e-08,-75.50
time range,11:00:39,11:00:49
row1,6.672620e-07,-61.76
row2,2.467055e-07,-66.08
row3,9.708294e-06,-50.13
row4,6.964215e-07,-61.57
row5,5.533406e-06,-52.57
row6,5.636685e-07,-62.49
row7,5.615875e-08,-72.51
row8,4.371784e-08,-73.59
time range,11:02:22,11:02:32
row1,2.800949e-07,-65.53
row2,2.323808e-07,-66.34
row3,1.317492e-05,-48.80
